,Year,Timesteps,From reg,To reg,Carrier,Value
8435,2022,12,reg3,reg1,Final_electricity,0.0
8436,2022,13,reg3,reg1,Final_electricity,0.0
8437,2022,14,reg3,reg1,Final_electricity,0.0
8438,2022,15,reg3,reg1,Final_electricity,0.0
8439,2022,16,reg3,reg1,Final_electricity,0.0
8440,2022,17,reg3,reg1,Final_electricity,0.0
8441,2022,18,reg3,reg1,Final_electricity,0.0
8442,2022,19,reg3,reg1,Final_electricity,0.0
8443,2022,20,reg3,reg1,Final_electricity,0.0
8444,2022,21,reg3,reg1,Final_electricity,0.0
8445,2022,22,reg3,reg1,Final_electricity,0.0
8446,2022,23,reg3,reg1,Final_electricity,0.0
8447,2022,24,reg3,reg1,Final_electricity,0.0
8448,2023,1,reg3,reg1,Final_electricity,0.0
8449,2023,2,reg3,reg1,Final_electricity,0.0
8450,2023,3,reg3,reg1,Final_electricity,0.0
8451,2023,4,reg3,reg1,Final_electricity,0.0
8452,2023,5,reg3,reg1,Final_electricity,0.0
8453,2023,6,reg3,reg1,Final_electricity,0.0
8454,2023,7,reg3,reg1,Final_electricity,0.0
8455,2023,8,reg3,reg1,Final_electricity,0.0
8456,2023,9,reg3,reg1,Final_electricity,0.0
8457,2023,10,reg3,reg1,Final_electricity,0.0
8458,2023,11,reg3,reg1,Final_electricity,0.0
8459,2023,12,reg3,reg1,Final_electricity,0.0
8460,2023,13,reg3,reg1,Final_electricity,0.0
8461,2023,14,reg3,reg1,Final_electricity,0.0
8462,2023,15,reg3,reg1,Final_electricity,0.0
8463,2023,16,reg3,reg1,Final_electricity,0.0
8464,2023,17,reg3,reg1,Final_electricity,0.0
8465,2023,18,reg3,reg1,Final_electricity,0.0
8466,2023,19,reg3,reg1,Final_electricity,0.0
8467,2023,20,reg3,reg1,Final_electricity,0.0
8468,2023,21,reg3,reg1,Final_electricity,0.0
8469,2023,22,reg3,reg1,Final_electricity,0.0
8470,2023,23,reg3,reg1,Final_electricity,0.0
8471,2023,24,reg3,reg1,Final_electricity,0.0
8472,2024,1,reg3,reg1,Final_electricity,0.0
8473,2024,2,reg3,reg1,Final_electricity,0.0
8474,2024,3,reg3,reg1,Final_electricity,0.0
8475,2024,4,reg3,reg1,Final_electricity,0.0
8476,2024,5,reg3,reg1,Final_electricity,0.0
8477,2024,6,reg3,reg1,Final_electricity,0.0
8478,2024,7,reg3,reg1,Final_electricity,0.0
8479,2024,8,reg3,reg1,Final_electricity,0.0
8480,2024,9,reg3,reg1,Final_electricity,0.0
8481,2024,10,reg3,reg1,Final_electricity,0.0
8482,2024,11,reg3,reg1,Final_electricity,0.0
8483,2024,12,reg3,reg1,Final_electricity,0.0
8484,2024,13,reg3,reg1,Final_electricity,0.0
8485,2024,14,reg3,reg1,Final_electricity,0.0
8486,2024,15,reg3,reg1,Final_electricity,0.0
8487,2024,16,reg3,reg1,Final_electricity,0.0
8488,2024,17,reg3,reg1,Final_electricity,0.0
8489,2024,18,reg3,reg1,Final_electricity,0.0
8490,2024,19,reg3,reg1,Final_electricity,0.0
8491,2024,20,reg3,reg1,Final_electricity,0.0
8492,2024,21,reg3,reg1,Final_electricity,0.0
